no_months,age,gender,income,no_months_ctr,no_months_ctr_end,phones,age_head_hh,edu_head_hh,income_head_hh,house_type,work_situation,no_calls,no_minutes,no_msgs,no_calls6,no_minutes6,no_msgs6,servcon,acq_costs,switch
142,66,M,31.68,19,4.000,2,0,0,0,0,0,133,168.52,9,92,120.12,4,1,400.00,0
77,,,137.10,22,1.000,11,5,2,1,4,2,242,187.25,41,247,185.42,49,1,400.00,0
140,42,M,105.78,14,9.000,3,5,2,2,4,2,237,718.98,50,320,918.12,74,0,400.00,0
134,,,77.35,28,-4.000,3,6,2,2,5,3,82,158.72,0,95,271.92,4,0,400.00,0
26,38,M,33.75,14,-2.000,2,3,2,4,2,1,154,281.35,7,165,287.23,4,0,400.00,0
132,,,17.74,22,5.000,5,3,2,1,5,1,12,8.97,7,14,13.58,1,0,400.00,0
132,41,M,25.45,20,3.000,2,3,1,4,2,1,78,72.18,0,77,51.52,3,0,400.00,0
57,,,50.19,45,-33.000,3,3,3,5,1,1,185,203.10,14,192,199.28,17,0,400.00,0
127,,,54.54,34,-10.000,4,3,2,4,2,1,40,50.07,9,50,36.55,12,0,400.00,0
104,51,M,169.99,21,10.000,4,3,2,1,3,2,191,357.58,0,189,339.75,1,0,400.00,0
115,53,M,33.39,21,2.000,6,6,2,1,5,3,47,69.35,33,49,75.58,28,0,400.00,0
125,48,M,10.69,22,1.000,2,0,0,0,0,0,6,0.97,11,15,16.33,19,0,400.00,0
114,69,M,61.01,43,-19.000,2,3,2,2,4,1,7,34.40,6,5,27.37,2,0,400.00,0
125,55,M,65.59,20,10.000,2,6,1,5,2,5,37,113.12,1,80,193.88,2,0,400.00,0
69,52,M,9.68,24,0.000,2,5,1,5,1,2,78,79.68,69,81,97.37,76,1,400.00,0
98,54,,19.96,47,-16.000,3,5,2,1,5,2,41,34.05,9,48,56.60,8,0,400.00,0
122,,M,252.96,22,2.000,3,5,1,3,2,1,384,931.57,168,413,1070.22,157,0,400.00,0
41,,,7.19,29,-5.000,1,,,,,,20,27.85,0,47,74.72,1,1,400.00,0
109,,,148.72,28,-4.000,3,2,3,1,4,1,81,567.63,36,71,366.12,88,1,400.00,0
120,,,68.70,26,3.000,2,1,2,1,4,4,182,339.88,21,247,370.07,14,0,400.00,0
86,62,,44.73,22,1.000,2,6,1,4,3,3,34,89.98,17,44,129.98,20,0,400.00,0
120,,,78.91,26,-1.000,2,5,3,5,2,2,101,235.08,35,94,311.67,68,0,400.00,0
82,,,26.09,26,6.000,4,4,3,1,5,2,85,57.55,0,93,89.20,7,0,400.00,0
32,,M,16.58,20,3.000,1,,,,,,2,2.13,11,7,9.45,8,0,400.00,0
116,61,M,19.63,28,0.000,2,,,,,,31,41.68,4,17,26.60,16,0,400.00,0
111,35,M,13.88,26,-2.000,2,3,3,4,3,1,72,62.18,3,61,47.47,3,1,400.00,0
108,36,,27.23,8,16.000,3,4,2,2,5,1,104,110.92,5,128,117.02,25,1,400.00,0
115,60,M,38.84,26,-2.000,2,,,,,,60,142.68,4,60,111.82,2,0,400.00,0
115,71,M,8.36,14,9.000,3,,,,,,0,0.00,0,2,12.22,1,0,400.00,0
114,57,M,46.52,32,-20.000,2,,,,,,122,138.07,49,126,246.38,19,0,400.00,0
114,,M,68.82,24,-12.000,4,,,,,,186,245.62,2,315,405.58,12,1,400.00,0
